"tap_sec","group_member","condition","group_number","trial"
"4.460408",1,"subgroup_loner",2,3
"5.036191",3,"subgroup_loner",2,3
"5.109478",2,"subgroup_loner",2,3
"5.712109",1,"subgroup_loner",2,3
"6.281723",2,"subgroup_loner",2,3
"6.321995",3,"subgroup_loner",2,3
"6.857506",1,"subgroup_loner",2,3
"7.392290",3,"subgroup_loner",2,3
"7.482630",2,"subgroup_loner",2,3
"8.026848",1,"subgroup_loner",2,3
"8.600817",3,"subgroup_loner",2,3
"8.673016",2,"subgroup_loner",2,3
"9.227030",1,"subgroup_loner",2,3
"9.771973",3,"subgroup_loner",2,3
"9.831474",2,"subgroup_loner",2,3
"10.397823",1,"subgroup_loner",2,3
"10.916281",2,"subgroup_loner",2,3
"10.931882",3,"subgroup_loner",2,3
"11.525080",1,"subgroup_loner",2,3
"12.002177",3,"subgroup_loner",2,3
"12.079819",2,"subgroup_loner",2,3
"12.684626",1,"subgroup_loner",2,3
"13.216146",3,"subgroup_loner",2,3
"13.232471",2,"subgroup_loner",2,3
"13.836190",1,"subgroup_loner",2,3
"14.348844",3,"subgroup_loner",2,3
"14.382585",2,"subgroup_loner",2,3
"14.915193",1,"subgroup_loner",2,3
"15.435827",3,"subgroup_loner",2,3
"15.473560",2,"subgroup_loner",2,3
"16.067120",1,"subgroup_loner",2,3
"2.701497",2,"seq_b",2,0
"3.290340",3,"seq_b",2,0
"3.993107",1,"seq_b",2,0
"4.616417",2,"seq_b",2,0
"5.237914",3,"seq_b",2,0
"5.942494",1,"seq_b",2,0
"6.584671",2,"seq_b",2,0
"7.141587",3,"seq_b",2,0
"7.777959",1,"seq_b",2,0
"8.428118",2,"seq_b",2,0
"8.989751",3,"seq_b",2,0
"9.604716",1,"seq_b",2,0
"10.266485",2,"seq_b",2,0
"10.819774",3,"seq_b",2,0
"11.439818",1,"seq_b",2,0
"12.067483",2,"seq_b",2,0
"12.719456",3,"seq_b",2,0
"12.795647",1,"seq_b",2,0
"13.735692",1,"seq_b",2,0
"14.323084",2,"seq_b",2,0
"15.316463",3,"seq_b",2,0
"15.961905",1,"seq_b",2,0
"16.612427",2,"seq_b",2,0
"17.214693",3,"seq_b",2,0
"2.684444",2,"seq_b",2,1
"3.365079",3,"seq_b",2,1
"3.969161",1,"seq_b",2,1
"4.617506",2,"seq_b",2,1
"5.157007",3,"seq_b",2,1
"5.775964",1,"seq_b",2,1
"6.431565",2,"seq_b",2,1
"7.038186",3,"seq_b",2,1
"7.628843",1,"seq_b",2,1
"8.266666",2,"seq_b",2,1
"8.856236",3,"seq_b",2,1
"9.420045",1,"seq_b",2,1
"10.052789",2,"seq_b",2,1
"10.666304",3,"seq_b",2,1
"11.227211",1,"seq_b",2,1
"11.842176",2,"seq_b",2,1
"12.400544",3,"seq_b",2,1
"12.981406",1,"seq_b",2,1
"13.603628",2,"seq_b",2,1
"14.156916",3,"seq_b",2,1
"14.755555",1,"seq_b",2,1
"15.332789",2,"seq_b",2,1
"15.870476",3,"seq_b",2,1
"16.483992",1,"seq_b",2,1
"2.675011",2,"seq_b",2,2
"3.332063",3,"seq_b",2,2
"4.003991",1,"seq_b",2,2
"4.629478",2,"seq_b",2,2
"5.227392",3,"seq_b",2,2
"5.898594",1,"seq_b",2,2
"6.449705",2,"seq_b",2,2
"7.061769",3,"seq_b",2,2
"7.638639",1,"seq_b",2,2
"8.250340",2,"seq_b",2,2
"8.850068",3,"seq_b",2,2
"9.428027",1,"seq_b",2,2
"10.064399",2,"seq_b",2,2
"10.674648",3,"seq_b",2,2
"11.274377",1,"seq_b",2,2
"11.885351",2,"seq_b",2,2
"12.443719",3,"seq_b",2,2
"13.041995",1,"seq_b",2,2
"13.652970",2,"seq_b",2,2
"14.263583",3,"seq_b",2,2
"14.819774",1,"seq_b",2,2
"15.401723",2,"seq_b",2,2
"16.065306",3,"seq_b",2,2
"16.649433",1,"seq_b",2,2
"2.774422",2,"seq_b",2,3
"3.315011",3,"seq_b",2,3
"3.855964",1,"seq_b",2,3
"4.434649",2,"seq_b",2,3
"4.936054",3,"seq_b",2,3
"5.546304",1,"seq_b",2,3
"6.173243",2,"seq_b",2,3
"6.600635",3,"seq_b",2,3
"7.153923",1,"seq_b",2,3
"7.729705",2,"seq_b",2,3
"8.198458",3,"seq_b",2,3
"8.768435",1,"seq_b",2,3
"9.365261",2,"seq_b",2,3
"9.853969",3,"seq_b",2,3
"10.398549",1,"seq_b",2,3
"10.965261",2,"seq_b",2,3
"11.455057",3,"seq_b",2,3
"12.070748",1,"seq_b",2,3
"12.629841",2,"seq_b",2,3
"13.084444",3,"seq_b",2,3
"13.281089",1,"seq_b",2,3
"14.313288",2,"seq_b",2,3
"14.893062",3,"seq_b",2,3
"15.384309",1,"seq_b",2,3
"2.691701",3,"seq_c",2,0
"3.350930",1,"seq_c",2,0
"3.968073",2,"seq_c",2,0
"4.583764",3,"seq_c",2,0
"5.156644",1,"seq_c",2,0
